test_case,iteration,start_iso,end_iso,latency_ms,status_code,label
real1,84,2025-11-07T21:45:42.561707+00:00,2025-11-07T21:45:42.589736+00:00,28.027,200,REAL
real1,85,2025-11-07T21:45:42.589772+00:00,2025-11-07T21:45:42.618588+00:00,28.814,200,REAL
real1,86,2025-11-07T21:45:42.618625+00:00,2025-11-07T21:45:42.645977+00:00,27.351,200,REAL
real1,87,2025-11-07T21:45:42.646014+00:00,2025-11-07T21:45:42.674224+00:00,28.209,200,REAL
real1,88,2025-11-07T21:45:42.674262+00:00,2025-11-07T21:45:42.702462+00:00,28.198,200,REAL
real1,89,2025-11-07T21:45:42.702498+00:00,2025-11-07T21:45:42.729853+00:00,27.354,200,REAL
real1,90,2025-11-07T21:45:42.730115+00:00,2025-11-07T21:45:42.757952+00:00,27.837,200,REAL
real1,91,2025-11-07T21:45:42.757987+00:00,2025-11-07T21:45:42.785800+00:00,27.811,200,REAL
real1,92,2025-11-07T21:45:42.785834+00:00,2025-11-07T21:45:42.813840+00:00,28.004,200,REAL
real1,93,2025-11-07T21:45:42.813876+00:00,2025-11-07T21:45:42.843317+00:00,29.439,200,REAL
real1,94,2025-11-07T21:45:42.843349+00:00,2025-11-07T21:45:42.889892+00:00,46.541,200,REAL
real1,95,2025-11-07T21:45:42.889927+00:00,2025-11-07T21:45:42.917885+00:00,27.956,200,REAL
real1,96,2025-11-07T21:45:42.917919+00:00,2025-11-07T21:45:42.946630+00:00,28.709,200,REAL
real1,97,2025-11-07T21:45:42.946671+00:00,2025-11-07T21:45:42.974100+00:00,27.428,200,REAL
real1,98,2025-11-07T21:45:42.974135+00:00,2025-11-07T21:45:43.002408+00:00,28.272,200,REAL
real1,99,2025-11-07T21:45:43.002443+00:00,2025-11-07T21:45:43.030061+00:00,27.617,200,REAL
real1,100,2025-11-07T21:45:43.030095+00:00,2025-11-07T21:45:43.057834+00:00,27.737,200,REAL
