test_case,iteration,start_iso,end_iso,latency_ms,status_code,label
fake1,79,2025-11-07T21:45:36.397288+00:00,2025-11-07T21:45:36.424990+00:00,27.701,200,FAKE
fake1,80,2025-11-07T21:45:36.425023+00:00,2025-11-07T21:45:36.453552+00:00,28.527,200,FAKE
fake1,81,2025-11-07T21:45:36.453587+00:00,2025-11-07T21:45:36.480917+00:00,27.328,200,FAKE
fake1,82,2025-11-07T21:45:36.480951+00:00,2025-11-07T21:45:36.509247+00:00,28.294,200,FAKE
fake1,83,2025-11-07T21:45:36.509284+00:00,2025-11-07T21:45:36.537102+00:00,27.817,200,FAKE
fake1,84,2025-11-07T21:45:36.537134+00:00,2025-11-07T21:45:36.565731+00:00,28.595,200,FAKE
fake1,85,2025-11-07T21:45:36.565765+00:00,2025-11-07T21:45:36.593486+00:00,27.719,200,FAKE
fake1,86,2025-11-07T21:45:36.593523+00:00,2025-11-07T21:45:36.621708+00:00,28.183,200,FAKE
fake1,87,2025-11-07T21:45:36.621743+00:00,2025-11-07T21:45:36.650477+00:00,28.733,200,FAKE
fake1,88,2025-11-07T21:45:36.650512+00:00,2025-11-07T21:45:36.677863+00:00,27.349,200,FAKE
fake1,89,2025-11-07T21:45:36.677899+00:00,2025-11-07T21:45:36.705446+00:00,27.546,200,FAKE
fake1,90,2025-11-07T21:45:36.705751+00:00,2025-11-07T21:45:36.733806+00:00,28.055,200,FAKE
fake1,91,2025-11-07T21:45:36.733842+00:00,2025-11-07T21:45:36.761119+00:00,27.275,200,FAKE
fake1,92,2025-11-07T21:45:36.761154+00:00,2025-11-07T21:45:36.790558+00:00,29.403,200,FAKE
fake1,93,2025-11-07T21:45:36.790594+00:00,2025-11-07T21:45:36.821659+00:00,31.063,200,FAKE
fake1,94,2025-11-07T21:45:36.821692+00:00,2025-11-07T21:45:36.850208+00:00,28.515,200,FAKE
fake1,95,2025-11-07T21:45:36.850243+00:00,2025-11-07T21:45:36.877567+00:00,27.323,200,FAKE
fake1,96,2025-11-07T21:45:36.877605+00:00,2025-11-07T21:45:36.905318+00:00,27.712,200,FAKE
fake1,97,2025-11-07T21:45:36.905357+00:00,2025-11-07T21:45:36.933843+00:00,28.485,200,FAKE
fake1,98,2025-11-07T21:45:36.933878+00:00,2025-11-07T21:45:36.961295+00:00,27.416,200,FAKE
fake1,99,2025-11-07T21:45:36.961330+00:00,2025-11-07T21:45:36.989360+00:00,28.028,200,FAKE
fake1,100,2025-11-07T21:45:36.989395+00:00,2025-11-07T21:45:37.017883+00:00,28.487,200,FAKE
